Year,NOAA (Montzka 2011),AGAGE (Rigby 2013),NOAA - Repeat Temp (McNorton 2016),NOAA - Varying Temp (McNorton 2016),Agage - Repeat Temp (McNorton 2016),Agage - Varying Temp (McNorton 2016)
1997,-1.71545,-7.25158,-7.34453,-7.07456,-4.94632,-4.66813
1998,0.564546,-2.50672,1.16183,0.559163,-1.33592,-1.92228
1999,1.23455,2.05907,1.75755,2.2496,-0.25146,0.232816
2000,2.26455,-0.179064,3.72628,4.15425,0.120521,0.53401
2001,3.49455,2.1486,2.22765,2.34129,1.79543,1.91065
2002,-0.475454,2.23813,-0.0639617,-0.113249,1.26009,1.21113
2003,1.70455,1.4324,5.52915,5.40171,1.9086,1.7867
2004,1.53455,3.40196,5.38095,5.39293,5.11671,5.13009
2005,-1.75545,-0.179064,-5.3072,-5.53703,-1.60201,-1.83969
2006,-2.88545,-0.268583,-2.1011,-2.36053,-0.476813,-0.739467
2007,-3.96545,-0.895267,-4.96665,-5.01357,-1.58883,-1.63584
2008,0,-3.62705,0,0,-4.80244,-4.41464
2009,0,-7.60967,0,0,-6.52478,-6.64974
